pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_msinij,pl_radj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_radv,st_sp,st_lum,st_metfe,st_acts,st_actr,pl_msinie,pl_disc
HD 38529,b,Radial Velocity,14.30900000,0.129000,0.290000,,0.78000,,,,0,86.645470,1.168193,42.43,5.950,,,,HD 38529,HIP 27253,30.20,4.80,,,0.174,-4.960,247.89696,2000
HD 38529,c,Radial Velocity,2174.30000000,3.680000,0.360000,,12.70000,,,,0,86.645470,1.168193,42.43,5.950,,,,HD 38529,HIP 27253,30.20,4.80,,,0.174,-4.960,4036.27096,2002
HD 38801,b,Radial Velocity,696.30000000,1.700000,0.000000,,10.70000,,,,0,86.996567,-8.327700,99.40,8.269,,,,HD 38801,HIP 27384,,4.80,,,,,3400.64000,2010
HD 38858,b,Radial Velocity,407.15000000,1.037600,0.270000,,0.09610,,,,0,87.145584,-4.094648,15.56,5.970,,,,HD 38858,HIP 27435,31.20,4.30,,,0.168,-4.950,30.54000,2011
HD 39091,b,Radial Velocity,2063.81800000,3.290000,0.620000,,10.35000,,,,0,84.291214,-80.469124,18.21,5.650,,,,HD 39091,HIP 26394,10.30,4.10,,,0.160,-4.970,3289.40192,2001
HD 39194,b,Radial Velocity,5.63630000,0.051900,0.200000,,0.01170,,,,0,86.132996,-70.143570,25.59,8.075,,,,HD 39194,HIP 27080,13.70,4.80,,,,,3.71800,2011
HD 39194,c,Radial Velocity,14.02500000,0.095400,0.110000,,0.01870,,,,0,86.132996,-70.143570,25.59,8.075,,,,HD 39194,HIP 27080,13.70,4.80,,,,,5.94300,2011
HD 39194,d,Radial Velocity,33.94100000,0.172000,0.200000,,0.01620,,,,0,86.132996,-70.143570,25.59,8.075,,,,HD 39194,HIP 27080,13.70,4.80,,,,,5.14900,2011
HD 40307,b,Radial Velocity,4.31230000,0.046800,0.200000,,0.01260,,,,0,88.517670,-60.023472,12.83,7.150,4956.00,0.77,,HD 40307,HIP 27887,30.40,5.30,-0.639,-0.310,,,4.00000,2008
HD 40307,c,Radial Velocity,9.61840000,0.079900,0.060000,,0.02080,,,,0,88.517670,-60.023472,12.83,7.150,4956.00,0.77,,HD 40307,HIP 27887,30.40,5.30,-0.639,-0.310,,,6.60000,2008
HD 40307,d,Radial Velocity,20.43200000,0.132100,0.070000,,0.02990,,,,0,88.517670,-60.023472,12.83,7.150,4956.00,0.77,,HD 40307,HIP 27887,30.40,5.30,-0.639,-0.310,,,9.50000,2008
HD 40307,e,Radial Velocity,34.62000000,0.188600,0.150000,,0.01100,,,,0,88.517670,-60.023472,12.83,7.150,4956.00,0.77,,HD 40307,HIP 27887,30.40,5.30,-0.639,-0.310,,,3.50000,2012
HD 40307,f,Radial Velocity,51.76000000,0.247000,0.020000,,0.01640,,,,0,88.517670,-60.023472,12.83,7.150,4956.00,0.77,,HD 40307,HIP 27887,30.40,5.30,-0.639,-0.310,,,5.20000,2012
HD 40307,g,Radial Velocity,197.80000000,0.600000,0.290000,,0.02230,,,,0,88.517670,-60.023472,12.83,7.150,4956.00,0.77,,HD 40307,HIP 27887,30.40,5.30,-0.639,-0.310,,,7.10000,2012
